Original,EN
"已經是第三、四次回訪～這幾次點的食物都很好吃，服務生也很親切

🥗煙燻鮭魚沙拉（S)180元
菜葉蠻新鮮的，很脆口，麵包塊也是脆的，煙燻鮭魚應該算中規中矩的不錯，有些許紫高麗菜絲和橄欖，表層有起司粉添味很不錯。我們點芥末籽醬，沾一點就會有芥末的嗆辣味，很香也很刷嘴。

🍔塔塔醬南蠻炸雞漢堡 250元｜加鮮奶茶50元
已經點了兩次，真的非常好吃，雖然麵包好像算是偏小的，不過雞腿肉的份量真的很棒（很大塊，厚度也有2-3公分），肉很嫩也很多汁。塔塔醬的味道很棒，不會太膩，起司融化在餡料中間非常享受。會附薯條！薯條也是炸的脆脆的很好吃。鮮奶茶很順口好喝，不甜膩～

🍕白醬野菇披薩 250元
白醬的味道稍微偏淡，但起司給的很多，所以吃起來應該是起司味比較重，如果是喜歡起司的人應該會喜歡，不過如果是個人吃完一整份可能會稍嫌太膩，三、四個人分倒是挺剛好！

除了食物以外，餐廳內有大螢幕（前後也有電視），會播放體育賽事可以觀看，餐具在門口左側，也有一次性手套可以吃漢堡。整體環境很乾淨舒服，冷氣很涼，椅子是有點類似沙發椅坐起來很舒服～

幾乎都是平日晚上去用餐，但客人不太多，希望可以留下好評讓更多人認識這間不錯的餐廳！家庭用餐或是和朋友的聚餐都很適合～","It is already the third and fourth return visit ~ These few foods are delicious, and the waiter is very kind

沙 Smoked salmon salad (s) 180 yuan
The vegetable leaves are very fresh, very crispy, and the pieces are crispy. Smo smoke salmon should be considered good. Some purple cabbage silk and olives, the surface of the surface is very good.We order mustard seed sauce, and we will have the spicy flavor of mustard, and it is very fragrant and brushing.

Tata sauce southern fried chicken burgers 250 yuan ｜ Add fresh milk tea 50 yuan
It has been ordered twice, it is really delicious. Although the bread seems to be small, the amount of chicken legs is really great (very large, the thickness is 2-3 cm), the meat is tender and many juice.The taste of Tata sauce is great, not too greasy, and the cheese melted in the middle of the filling very much.Will attach fries!French fries are also fried crispy and delicious.Fresh milk tea is very smooth and delicious, not sweet ~

2 White sauce wild mushroom pizza 250 yuan
The taste of white sauce is slightly lighter, but a lot of cheese is given, so it should be a lot of cheese taste. If it is a cheese who likes cheese, it should like it, but if it is individual, it may be a little bit suspected It's too greasy, it's just right for three or four people!

In addition to food, there are large screens in the restaurant (there are also TVs before and after). You can watch sports events. The tableware is on the left side of the door. There is also a hamburger on the left side of the door.The overall environment is very clean and comfortable, the air -conditioning is very cool, the chair is a bit similar to the sofa chair and it is very comfortable ~

Almost all of them go for dinner on weekdays, but there are not many guests, I hope to leave praise to let more people know this good restaurant!Family dining or dinner with friends is very suitable ~"
環境有氣氛，食物口味不錯但份量好少，炸物的含油量真的挺嚇人，整體來說價格偏高，餐具水等用品需要自取，但服務態度愛理不理的不太好，營業時間到沒有準時開門，也讓人以為有公休，同樣價格，附近有更好的選擇,"The environment has the atmosphere. The food taste is good but the portion is small. The oil content of the fried object is really scary. Overall the price is high, tableware and water and other supplies need to be taken, but the service attitude is not good. Time is not open on time, it also makes people think that there is a public suspension. At the same price, there are better choices nearby"
"2024/07/15 初訪

免用統一發票
可以LINE PAY

沒有訂位下班直奔，六點半左右進門時店裡還沒什麼人，入座不多久訂位的客人和其他散客陸續抵達，還沒七點就坐滿啦！

掃描桌上條碼點餐，看了評論對店家自製青醬覺得好奇，先點了大的燻鮭魚沙拉和青醬義大利麵，搭配無糖去冰的綠茶。

燻鮭魚沙拉用大鐵盤盛裝，設計應該是要讓多人分享，餐具櫃有提供分食的小盤，燻鮭魚和生菜都很新鮮，已預拌的沙拉醬調味也很適中，優秀！

青醬義大利麵也很快地上桌，店家自製青醬果然厲害，明明是用橄欖油打成的醬汁卻有種清爽感，麵條也煮的軟硬適中，也很優秀！

於是忍不住加點了法式白醬培根義大利麵，因為是加點，廚房已先處理坐滿整間店的客戶點餐，等了一會兒才出餐，麵上桌我忍不住馬上叉起來吃，結果差點被燙到 哈哈哈哈
白醬奶香濃郁、培根有香氣不死鹹，也很優秀啊！

說起來我這一區的桌距有點窄，坐滿人的時候成年男子比較不易通過，但這不算什麼問題，移動時稍微注意一下就好，店裡有兒童椅可以提供嬰幼兒使用，洗手間也很乾淨，是讓人想回訪、願意推薦給朋友的好店家！","2024/07/15 First visit

Exempide unified invoices
Can LINE PAY

There was no booking after ordering, and there was no one in the store when they entered the door around 6:30. The guests who reached the reservation and other scattered customers after the seat arrived one after another. It was full before seven o'clock!

Scanning the barcode on the table and ordering, I was curious about the shop's homemade green sauce. First, I ordered the large smoked salmon salad and the pastoral noodles of the green sauce.

Smoked salmon salads are installed with large iron plates. The design should be shared by multiple people. The tableware cabinet provides small plates for food. Smoked salmon and lettuce are very fresh. The pre -mixed salad sauce is also seasoned and excellent!

The green sauce Italian noodles also quickly served. The shop's homemade green sauce was really powerful. Obviously, the sauce made of olive oil has a refreshing feeling.

So I couldn't help but add the French white sauce bacon pasta, because it was added, the kitchen had processed the customer who was filled with the entire store to order, and waited for a while before going out. As a result, I was almost scalded hahahahaha
The white sauce milk is rich in aroma, the bacon is not dead and salty, and it is also excellent!

Speaking of the table distance in my district is a bit narrow, it is difficult for adult men to pass when they are full of people, but this is not a problem. Just pay attention when moving. There are children in the store to provide infants and young children. It is also very clean. It is a good shop that makes people want to return to visit and is willing to recommend to friends!"
餐點都不難吃，但味道都不夠，剝皮辣椒蛤蜊沒有剝皮辣椒的味道，只有切塊的剝皮辣椒，白酒蛤蜊味道也不對，炸物都太油，松露薯條的松露味道也不夠，飲品好喝，整體就是都不難吃但都沒有點的品項寫的那些味道，所以會很失望,"The meal is not unpalatable, but the taste is not enough. The peeling pepper clams do not have the taste of pepper pepper. Only the cut peeling pepper, the white wine clams are not right. It ’s delicious, it’ s not unpalatable but there are those tastes written by the items, so it will be disappointed."
"沙拉份量有點少
義大利麵跟漢堡好吃
青醬法國麵包很好吃！！可惜上面的料是冷的🫠如果熱熱的一定超讚 好可惜 …","Salad's portfolio is a bit less
It is delicious with the Italian Noodles and Hamburg
Green sauce French bread is delicious!IntersectionIt is a pity that the above materials are cold. If you are hot, it must be great. Unfortunately ..."
麵跟飯全部都很好吃，雞柳條炸的很棒不會刮嘴巴,"Noodles and rice are all delicious, chicken willow bars are fried very well and can’t scrape the mouth"
食物的價格沒有反應在食物上，炸物的油都沒有瀝乾，主食的味道也不太夠，附近有路邊停車格,"The price of food is not reflected on the food, the oil of the fried object is not drained, and the taste of the staple food is not enough. There is a roadside parking grid nearby."
"白醬野菇比薩：端上桌奶香撲鼻而來，味道濃郁恰到好處。
瑪格利特比薩：嚐起來酸酸甜甜的很開胃，調味平衡取的剛剛好。
唯一可惜的是比薩選擇性少了點。
會讓人再來光顧","White sauce wild mushroom pizza: The milk fragrance of the table comes from the table, and the taste is rich and just right.
Maglit Besa: It tastes sour and sweet and appetizing, and the flavoring balance is just right.
The only pity is that Pisa has less selectivity.
Will let people come again"
"2024.05.11首訪：linepay、現金結帳，無發票。
因為是新開的店，小朋友說想要來踩點。詢問店家，店家客氣的表示他們沒有低消限制，如果擔心吃不完，可以先點一份餐，但老闆也笑笑說他們的飯菜份量沒有很多，應該不用擔心小孩吃不完--果然，我家小朋友獨立解決了一份青醬燉飯，好在我這次是一人一份餐，不然大概只能舔盤子。

口味是屬於比較鹹香的，感覺搭配飲料或湯會很剛好。謝謝店家提供專門的小朋友水杯，這也是我覺得很貼心的點。

應該是還沒佈置完，覺得牆壁有點空，循序漸進慢慢來也不錯。
如果有嬰兒車或輪椅要進來可能需要喬一下放置的位置。","2024.05.11 First visit: LinePay, cash checkout, no invoices.
Because it is a new store, the children say they want to step on the point.Ask the store, the store politely stated that they did not have a low limit. If you are worried that you ca n’t finish eating, you can order a meal first, but the boss also smiled and said that the amount of their meals is not much. My children solved a green sauce stewed rice independently. Fortunately, I was a meal for a meal this time, otherwise I could only lick the plate.

The taste is relatively salty, and it feels like a drink or soup.Thank you store for providing special children's cups. This is also a very intimate point.

It should not be finished yet. I feel that the wall is a bit empty, and it is not bad to step by step.
If you have a baby car or a wheelchair to come in, you may need to be placed."
服務生的態度非常好，真的是親子友善餐廳！餐點也相當好吃，點了薄皮雞翅、燻鮭沙拉、松露野菇燉飯、青醬義大利麵、白酒蛤蠣義大利麵，每一道都得到家人和朋友的好評，很有面子！是一間會讓我想帶家人再回訪的餐廳。,服務生的態度非常好，真的是親子友善餐廳！餐點也相當好吃，點了薄皮雞翅、燻鮭沙拉、松露野菇燉飯、青醬義大利麵、白酒蛤蠣義大利麵，每一道都得到家人和朋友的好評，很有面子！是一間會讓我想帶家人再回訪的餐廳。
