Original,EN
"店員🍊小姊姊很熱情❤️‍🔥
很會聊、不冷場、非常有活力
聽到有壽星
直接shot招待起來
可能獸星比較可愛(有兩輪歐歐歐歐

環境很寬敞，客人素質都不錯
吧台的妹妹也都會關注客人
喝完都會主動幫忙換

因為週四、週六暢飲日
啤酒880/威士忌1200
菜單上的啤酒都包含在內可以選

如果是像我一樣慢慢喝的
店家主動幫忙安排先算單支的價格
超過再轉暢飲
這個服務真的貼心❤️

目前店家沒有提供食物
但可以自備或是外送
巷口還有超商
店家都會很貼心的幫忙裝盤

廁所男女分開是一大優點
實在不能接受共用廁所🥲
不敢想像準頭不好的男人在你前面出來
災難….

但很抱歉 顧著努力喝
忘記拍拍 有興趣的大大們
請自行現場體驗🤪

唯一缺點就是網路不太好..
WI-FI也不太給力🥲
常常會不小心離開人世間","The clerk 很 Little sister is very enthusiastic ❤️🍊
I can chat, not cold, very energetic
Hearing Shouxing
Directly shot entertaining
Maybe the beast star is cute (there are two rounds of European and European

The environment is very spacious, and the quality of the guests is good
The sister of the bar will also follow the guests
After drinking, I will take the initiative to help change

Because of the day and Saturday, drink day and Saturday
Beer 880/whiskey 1200
The beer on the menu can be selected

If it's like me, drink slowly
The store takes the initiative to help arrange the price of the single one first
Turn more than a smooth drink
This service is really intimate

At present, the store does not provide food
But you can bring your own or out -of -delivery
There are supermarkets in the alley
The store will help load the plate very intimately

The separation of men and women in toilets is a big advantage
I really can't accept the shared toilet 🥲
Dare not imagine that men who are not good are in front of you
disaster….

But I'm sorry to drink hard to drink
Forgot to shoot big people who are interested
Please experience on the spot 场

The only disadvantage is that the Internet is not very good ..
Wi-fi is not too awesome
I often accidentally leave the world"
"老闆很海派和善😆
可帶外食好感動
因為只有賣酒😌
也有暢飲部分（好像價錢是880吧！可以再問一下）
剛好來看世足～☺️
唯一缺點是有煙味🚬
但確實蠻多酒吧也會有～","The boss is very sea school and good 派
Can be moved with outer food
Because you only sell wine 酒
There is also a smooth drink (it seems that the price is 880! You can ask again)
Just come to see the world foot ~ 世️
The only disadvantage is the smell of smoke 🚬
But there are really a lot of bars."
消費合理、有鏢機、有球賽看，自己來或和朋友來都適合，棒棒！,"Reasonable consumption, dart machine, and ball game, it is suitable for yourself or with friends, great!"
店員好帥🫶🏼酒好喝氣氛也好！,The clerk is so handsome and the wine is delicious!
店家人超好，氣氛也很棒，週末不小心在店裡遺失物品，想碰運氣看看能不能找回，沒想到店家很暖心的百忙之中幫忙保管，趁下班空檔時趕緊去。這間啤酒Bar用心經值得大力推薦，謝謝88，so nice!,"The shopkeeper is super good and the atmosphere is also great. I accidentally lost the items in the store on the weekend. I want to touch it to see if I can find it. I did not expect that the store was very warm and helped to keep it. EssenceThis beer BAR is worth recommending with the heart, thank you 88, so nice!"
每次來都喝到飛走，就知道好在哪裡了！,"Every time you come and fly away, you know where you are!"
在雙城街如此功利之戰區 算是溫和的酒吧 妹妹的大酒是按照酒單上牌價計算 且不太會催酒 相當親民 愛喝啤酒的朋友建議happy hour 時段去 買一送一相當划算 若是喜歡喝威士忌且要長期走跳的客人 建議一次開三瓶 有15趴的折扣 至於小菜都是按照附近提供餐點的店家外叫且不多收費 在年月不豪 物力維艱的歲月下 不失為一個不錯的選擇,"The utilitarian bar in Shuangcheng Street is a gentle bar sister’s wine, which is calculated based on the license plate price and is not very cooled. Friends who love to drink beer suggest that you have to buy one get one get one free during the period. The whiskey and the guests who want to take a long time suggest that you open three bottles at a time with 15 compromises. As for the small dishes, the shops are called by the shops that provide meals nearby, and not much fees are a good choice."
"調酒師店員都很正 調酒 酒類也都很好喝
真的大推👍🏻👍🏻
個性會讓人有直接❤️上的衝動 （誤
而且價格上面也很便宜 🥰 …","The bartender clerk is very good for bartending wine and delicious
Really pushing 👍🏻👍🏻
Personality will make people directly ❤️ The impulse (mistake
And the price is also very cheap ..."
氣氛不錯👍，適合朋友一起去很盡興，價格合理，下次會再去。 …,The atmosphere is good. It is suitable for friends to be happy together. The price is reasonable. I will go again next time.Mowing
乾淨，服務生不會亂算錢，少數這區不是黑店，啤酒180是大瓶的,"Clean, the waiter will not calculate the money. A few are not black shops. Beer 180 is a big bottle."
"不錯看世足的地方，
喝杯酒看帥哥們贏球！excellent!","Nice place to look at the world,
Drink a glass of wine to watch the handsome guy to win!Excellent!"
"很朋友一起聚會聊天，玩飛鏢台，小酌。
很放鬆的地方❤️","Very friends gather together to chat together, play darts, drink.
Very relaxed place ❤️"
沒事就來找小8喝兩杯吧!,Come to Xiao 8 for two glasses!
"櫃檯阿妹很多，消費尚算合理
推薦","There are a lot of Amei in the counter, and the consumption is still reasonable
recommend"
老闆親切，服務人員年輕貌美而且熱誠,"The boss is kind, the service staff is young, beautiful, and enthusiastic"
服務熱情 價位公道,Service enthusiasm price
很吵很熱鬧很開心的酒吧,"Very noisy, lively and happy bar"
來喝兩杯吧!,Come and have two cups!
打標小酌好地方,Play a good place
便宜，小濁的好地方,"A good place for cheap, small turbidity"
煙味太重 人少,The smoke is too heavy
同學聚會的地方,Place of classmates
喝酒的好去處,Drink a good place
不錯的酒吧..食物來自外面，但食物很好。 3或4個顯示器觀看比賽,"Good bar .. Food is from outside, but the food is very good.3 or 4 monitors watch the game"
價格合理的飲料和良好的氛圍。,Price drinks and good atmosphere.
威士忌 250,Whiskey 250
好喝,Delicious
不錯的酒吧，美味的雞尾酒，還有美妙的音樂！,"Good bar, delicious cocktail, and wonderful music!"
喝酒的好地方...,Good place to drink ...
和朋友喝酒聊天的好地方,A good place to drink and chat with friends
熙熙好漂亮,Xixi is so beautiful
有正妹,Having a positive girl
聊天的好地方,Good place to chat
很棒！,great!
友善,friendly
姐,sister
思思懂喝,Thinking about drinking
老式的 talking bar,Old -style Talking Bar
棒棒！,Betty!
喝酒，爽,"Drink, cool"
